"Id","SalePrice"
1461,113615.783099396
1462,152940.350570656
1463,167178.198651688
1464,188372.887452268
1465,198238.22920411
1466,171867.028735129
1467,183911.525387571
1468,165998.999743976
1469,186235.362267558
1470,116381.883752395
1471,183882.360282512
1472,102133.362271217
1473,99604.4638246676
1474,161084.409273247
1475,136191.49362456
1476,364732.066328146
1477,256306.444563534
1478,307048.939278643
1479,288017.045563808
1480,500537.340852432
1481,311258.448495656
1482,216943.947816805
1483,181046.534400485
1484,176827.968487788
1485,165530.68662914
1486,200295.074175485
1487,325374.801596362
1488,258936.179679429
1489,193201.916972252
1490,197786.8556083
1491,195468.496614526
1492,91799.7058142777
1493,184198.452557616
1494,287275.891995548
1495,284378.496844456
1496,210867.6261444
1497,196773.989005774
1498,163961.520571593
1499,164151.994587517
1500,153644.255466741
1501,168275.08042406
1502,155838.867586527
1503,257217.077307704
1504,235614.128713024
1505,214233.380261705
1506,214211.1416669
1507,240335.793396331
1508,190013.932807816
1509,167452.62781431
1510,142433.472040635
1511,140905.655493614
1512,173170.069639929
1513,153980.446214942
1514,165025.123685111
1515,224882.185075552
1516,153653.496778398
1517,158724.498937371
1518,162472.616709776
1519,210801.332940967
1520,124154.582861898
1521,127876.825386233
1522,164351.526066687
1523,116082.400078875
1524,125925.841330477
1525,120212.738779815
1526,110837.800167035
1527,116275.249959183
1528,149966.631510257
1529,144490.143022978
1530,185476.963632463
1531,104125.824563742
1532,93348.3563999831
1533,146401.960456327
1534,128879.186440072
1535,144683.091146498
1536,109013.694027906
1537,63193.4481843156
1538,152078.720614454
1539,188717.040498284
1540,93258.4674765878
1541,138375.228258937
1542,134743.764130289
1543,186532.301804788
1544,84888.3491233184
1545,113117.254359656
1546,117473.062587185
1547,116433.452979451
1548,129292.568669453
1549,112618.403353138
1550,119181.864319297
1551,105543.003156899
1552,122980.559994711
1553,124483.719006145
1554,124656.120242964
1555,152387.167151202
1556,85779.7884129143
1557,93090.5708976787
1558,99162.4944367316
1559,54623.7056291949
1560,135826.521322761
1561,123096.053254168
1562,131902.791742704
1563,112341.64002492
1564,154657.715951389
1565,137901.25683079
1566,217772.999365363
1567,83458.283270055
1568,194076.38210452
1569,115068.517322946
1570,134618.232865937
1571,129785.337473012
1572,145400.289241683
1573,216761.627754538
1574,126477.662474549
1575,193851.025857651
1576,224728.837516574
1577,189988.029076154
1578,148452.262533951
1579,135025.133174983
1580,194524.591975201
1581,148300.635925452
1582,130860.230732587
1583,307400.886046879
1584,225066.786667405
1585,126560.436347068
1586,80995.4028925907
1587,108594.334394438
1588,139607.848040319
1589,105214.942344953
1590,141226.427361228
1591,98412.9783633442
1592,124024.291230125
1593,124632.225861069
1594,141215.768259639
1595,95961.6880988107
1596,213621.502859829
1597,188229.693693143
1598,188608.264055202
1599,165718.67213319
1600,169261.195721177
1601,68819.3889209098
1602,99770.0531687329
1603,68578.1899084227
1604,218806.512996167
1605,249697.964548171
1606,176683.574695684
1607,223103.321548922
1608,210234.535535934
1609,188848.401099755
1610,148403.652445854
1611,141156.674934359
1612,178230.741018794
1613,168083.604417959
1614,111084.174183474
1615,96428.5721622931
1616,80701.6854944896
1617,101331.1430246
1618,132089.22713874
1619,140312.911749109
1620,174640.030984568
1621,139762.794189176
1622,133950.869224161
1623,255404.976357665
1624,191941.459937527
1625,116363.621631926
1626,172233.983222031
1627,178155.439324476
